StockType,StockNumber,VIN,Year,Make,Model,Trim,Odometer,Age,Price,MSRP,Cost
New,M3823,Z7Y7J82DP2RESH5UE,2023,Chevrolet,Blazer EV,AWD LT,0,107,73086,77976,70903
New,M3255,9RH6XSFFSSGLDTSGG,2023,Chevrolet,Silverado 1500,LTZ,0,49,73368,74706,72135
New,M3290,VRHEX47XPTWY5CRT7,2024,Chevrolet,Silverado 1500,LT,0,271,80748,85398,79967
New,M3813,B1JNT1B2WY2TA3BBH,2023,Chevrolet,Blazer EV,AWD LT,0,200,30836,33940,29181
New,M3183,LDZ9ECPAYG86AW7HU,2024,Chevrolet,Traverse,RS,0,190,36278,38270,33466
New,M3159,WS7JRSLS8MC2NTDXJ,2023,Chevrolet,Traverse,RS,0,292,68677,70064,66863
New,M3021,NKGV257BW6V7GU8C5,2023,Chevrolet,Colorado,4WD Trail Boss,0,1,54656,57318,52710
New,M3844,KHZGV4PDJ63LGJE9K,2024,Chevrolet,Blazer EV,RS,0,217,45438,48177,43192
New,M3695,WWUF5GMS42KRZ4PCG,2023,Chevrolet,Blazer,RS,0,191,66095,67221,65207
New,M3213,RB715UD4AWTD74R36,2025,Chevrolet,Corvette,Z06,0,197,43548,45275,42157
New,M3231,LHU7YPF514USZ55RG,2023,Chevrolet,Traverse,RS,0,367,88757,91107,86833
New,M3645,1NY5KBL8UYTZ97PEA,2025,Chevrolet,Silverado 1500,Work Truck,0,78,31489,32790,28519
New,M3127,VC3NZPJD7KA3L2M61,2024,Chevrolet,Corvette,2LZ,0,244,72059,75564,69616
New,M3382,XRPAB3AF2TU7147TW,2024,Chevrolet,Traverse,LS,0,209,40462,44360,38261
New,M3889,Z7VWS9VE3TTP23WYY,2025,Chevrolet,Blazer EV,AWD LT,0,216,40933,43167,38578
New,M3290,EC9VV65VVB3YBV4CJ,2025,Chevrolet,Blazer,LT,0,91,68198,71875,67250
New,M3572,Z96M65R8WLM97ULS3,2024,Chevrolet,Traverse,LS,0,355,46836,50403,44315
New,M3872,MC4BJNN8JFKSVSA8D,2025,Chevrolet,Tahoe,LT,0,104,50663,52781,49547
New,M3945,9KB2VP4GXKFACVRY4,2023,Chevrolet,Tahoe,Premier,0,312,47873,49573,45956
New,M3150,3LVJCRF1B1YC1DCE1,2024,Chevrolet,Silverado 1500,LT,0,190,34941,36458,34287
New,M3159,JE2517NBF96LCNZS5,2025,Chevrolet,Tahoe,LT,0,259,35481,37766,33810
New,M3800,UVXYY2SEP1FWEJV3L,2023,Chevrolet,Blazer EV,RS,0,80,40577,41930,38632
New,M3253,MKE6KKUTAB44XDBNV,2024,Chevrolet,Suburban,LS,0,168,83194,86281,80809
New,M3484,PRJBT3EPDZMZY6YN2,2024,Chevrolet,Express Van,Base,0,235,83722,88271,83005
New,M3212,5VPGRHBLRWXCVRX73,2023,Chevrolet,Traverse,LS,0,39,58786,62521,55943
New,M3892,JLGXAV9B5GSDZL9FP,2024,Chevrolet,Blazer,RS,0,226,84594,86823,81635
New,M3385,EWA9TTGFGWZ8VC45E,2025,Chevrolet,Tahoe,Premier,0,183,45996,49873,43539
New,M3763,2TD9PB7RX3X78YURZ,2025,Chevrolet,Blazer,RS,0,175,51065,54757,50164
New,M3393,16N891TTWJUL46TD6,2023,Chevrolet,Corvette,2LT,0,98,64381,66941,62446
New,M3437,ZTB3TR8ASDPM9BXL4,2023,Chevrolet,Colorado,Work Truck,0,345,78208,80050,76299
New,M3511,X59EH3S1Y3M4K4LPX,2023,Chevrolet,Silverado 1500,LTZ,0,125,49460,53892,48426
New,M3510,SM522J5LCY6AHXTSD,2023,Chevrolet,Blazer EV,RS,0,342,87382,90341,84519
New,M3802,H6P3VLW9M72BEJPAY,2025,Chevrolet,Silverado 1500,Trail Boss,0,168,44504,49179,43025
Used,M3992,T4HRGRRMJ6J2KEHRD,2023,Chevrolet,Express Van,Cargo,30966,84,64881,67046,63260
Used,M3170,UPHNTFYMH83GL17PW,2024,Chevrolet,Blazer,RS,12400,190,51847,55926,50631
Used,M3532,4D1PKAFPTNVCSAMKD,2024,Chevrolet,Suburban,LS,30388,194,37223,39929,36313
Used,M3407,29DV231VDTSVTW85M,2023,Chevrolet,Suburban,RST,28908,188,80465,81870,77545
Used,M3867,4HS4N917F3MVV8CSL,2023,Chevrolet,Blazer,RS,22393,153,63413,67645,62884
Used,M3530,DC9YBJZ6VVDFVBJWC,2024,Chevrolet,Corvette,2LZ,17643,305,87100,89066,84474
Used,M3342,H387TZ74G1ZACG9KG,2025,Chevrolet,Equinox,RS,39331,203,58386,60277,55825
Used,M3075,4JE7T7DB4ZLT4S5E5,2024,Chevrolet,Blazer EV,RS,53353,7,39168,40773,38594
Used,M3155,1U6EYMKPNKH6JVJXD,2025,Chevrolet,Traverse,LS,12603,386,73353,75220,71780
Used,M3784,GF14313D28LBERR5U,2024,Chevrolet,Express Van,Cargo,39614,140,46295,50180,43727
Used,M3961,S1LYR5VBK6JW88JC7,2024,Chevrolet,Suburban,RST,16445,290,39266,40576,38428
Used,M3939,AZUFV23YS39K27UVF,2023,Chevrolet,Blazer,LT,50612,27,71840,72864,69252
Used,M3749,HLS1MKC5JWCXXY75V,2023,Chevrolet,Colorado,4WD LT,58946,16,57101,60344,55089
Used,M3786,S75F5E4GXUSKYJKKM,2023,Chevrolet,Traverse,RS,7067,394,35606,39812,33980
Used,M3380,1BPR2GFD5LYA6KR5B,2025,Chevrolet,Tahoe,LS,29026,38,49467,52322,48696
Used,M3605,ZBJT6618VV7JKX2U5,2024,Chevrolet,Tahoe,LT,39330,365,33671,38332,31120
Used,M3404,H54K4TDFRY8822N7X,2025,Chevrolet,Colorado,4WD Trail Boss,30125,16,82069,86628,80024
Used,M3483,7N54UYU4G1GPE66ZL,2023,Chevrolet,Tahoe,LS,59536,122,75832,79836,75169
Used,M3019,ZDACB66MASX7VJNRA,2025,Chevrolet,Corvette,2LZ,52221,132,61315,65704,59836
Used,M3590,F3M1TJ3NYEY145X3F,2023,Chevrolet,Corvette,2LZ,50116,71,68295,70902,67738
